Reading Date,Daily Rainfall (mm)
05/01/1980,15.4
06/01/1980,1
13/01/1980,6.2
14/01/1980,2.4
15/01/1980,1.3
17/01/1980,0.8
23/01/1980,6.4
24/01/1980,1.8
25/01/1980,0.8
28/01/1980,1.8
04/02/1980,1.2
05/02/1980,3.5
11/02/1980,0.1
13/02/1980,3.4
14/02/1980,6.8
15/02/1980,2.6
16/02/1980,3
17/02/1980,5.3
19/02/1980,1
20/02/1980,7.2
23/02/1980,0.4
24/02/1980,0.4
25/02/1980,0.6
26/02/1980,1.8
27/02/1980,1.2
28/02/1980,3.2
29/02/1980,6
01/03/1980,7.6
02/03/1980,10.2
11/03/1980,1.5
14/03/1980,5.5
18/03/1980,14.7
19/03/1980,0.3
28/03/1980,1.6
01/04/1980,3
02/04/1980,5.6
14/04/1980,2.2
15/04/1980,0.5
26/11/1980,4.7
10/12/1980,25.2
11/12/1980,0.4
12/12/1980,5.4
13/12/1980,12.6
25/12/1980,1.6
27/12/1980,46
28/12/1980,0.4
30/12/1980,1.5
31/12/1980,0.8
03/01/1981,3
04/01/1981,0.9
05/01/1981,1.3
12/01/1981,2
27/01/1981,8.6
01/02/1981,5
09/02/1981,0.5
15/02/1981,0.4
16/02/1981,3.9
17/02/1981,3.6
18/02/1981,0.5
23/02/1981,9
24/02/1981,2.8
25/02/1981,2
28/02/1981,3.2
01/03/1981,9.3
02/03/1981,8.7
26/03/1981,13.2
27/03/1981,1.6
08/04/1981,0.4
16/04/1981,4.4
17/04/1981,0.3
04/11/1981,2.9
10/11/1981,2.3
17/11/1981,3
19/11/1981,4
28/11/1981,3
24/12/1981,2.7
26/12/1981,1
04/01/1982,6.4
05/01/1982,6.8
08/01/1982,1.5
14/01/1982,3.4
01/02/1982,2.4
02/02/1982,3.4
03/02/1982,4.4
04/02/1982,1
13/02/1982,1.3
14/02/1982,3.7
17/02/1982,0.4
20/02/1982,8.1
02/03/1982,2.1
05/03/1982,0.3
10/03/1982,2.3
13/03/1982,5
14/04/1982,26.5
10/05/1982,16
11/05/1982,2.9
22/10/1982,1.8
23/10/1982,2.4
06/11/1982,2.8
07/11/1982,15
08/11/1982,8.2
09/11/1982,0.9
23/11/1982,10.4
03/12/1982,4.1
04/12/1982,0.5
13/12/1982,0.4
21/12/1982,3
29/12/1982,5
31/12/1982,3
01/01/1983,6
03/01/1983,1.5
05/01/1983,0.7
14/01/1983,5
17/01/1983,1.2
18/01/1983,1.5
23/01/1983,2.4
24/01/1983,3.1
02/02/1983,8.2
04/02/1983,2.2
06/02/1983,2.1
16/02/1983,1.3
17/02/1983,1
18/02/1983,15
19/02/1983,4.3
20/02/1983,7.4
22/02/1983,0.1
25/02/1983,1.5
26/02/1983,1.8
27/02/1983,0.2
22/03/1983,3
01/04/1983,0.4
17/04/1983,0.2
14/05/1983,2
12/11/1983,10
14/11/1983,5
11/12/1983,3.2
26/12/1983,0.6
01/01/1984,2.5
17/01/1984,3.7
18/01/1984,2
26/01/1984,9.3
27/01/1984,16.7
07/02/1984,9.7
12/03/1984,2
13/03/1984,7
14/03/1984,5.3
16/03/1984,4.2
17/03/1984,0.7
18/03/1984,2.4
22/03/1984,5
23/03/1984,13
26/03/1984,10.3
10/04/1984,1.6
17/10/1984,2.5
18/10/1984,3
30/10/1984,0.4
31/10/1984,14.1
01/11/1984,0.3
02/11/1984,1.8
08/11/1984,1.2
09/11/1984,0.3
10/11/1984,2.2
16/11/1984,6.2
17/11/1984,4.1
14/12/1984,14
23/12/1984,8.6
01/02/1985,2.7
02/02/1985,2
04/02/1985,8
05/02/1985,1.6
06/02/1985,0.3
14/02/1985,16.7
15/02/1985,6.9
16/02/1985,1.9
17/02/1985,1.6
20/02/1985,8.8
24/02/1985,6.2
25/02/1985,21.2
26/02/1985,6.2
22/03/1985,26
23/03/1985,0.2
22/04/1985,4.2
12/05/1985,1.4
18/10/1985,0.4
02/11/1985,0.6
30/11/1985,0.9
01/12/1985,0.2
17/12/1985,5
18/12/1985,5
19/12/1985,6
22/12/1985,2
26/12/1985,1
03/01/1986,1.2
09/01/1986,2
12/01/1986,4
15/01/1986,3.2
16/01/1986,1
19/01/1986,4
22/01/1986,2
04/02/1986,5.1
05/02/1986,1.9
06/02/1986,3.5
